,user,date,text,favorite_count
4,NordVPN,Mon Jan 31 21:55:00 +0000 2022,"#ITymology
Spam (the term for unsolicited messages, not canned pork) was created by the comedy troupe Monty Python.… https://t.co/DwsjdMKmoJ",3882
9,MIT_CSAIL,Mon Jan 31 17:00:02 +0000 2022,Happy birthday to Python creator Guido van Rossum. The open source language was named after comedy troupe Monty Pyt… https://t.co/39HvekUFUW,2239
0,simonw,Wed Feb 02 01:53:25 +0000 2022,Whoa. https://t.co/RuoQphdscy runs a full Debian VM entirely in your browser via WebAssembly... and it ships with w… https://t.co/JjE32EJ8yp,1009
1,MarshallJulius,Tue Feb 01 12:12:00 +0000 2022,"Remembering Python icon Terry Jones, born today in 1942. What a clever, witty, thoughtful, generous and often naked… https://t.co/eF2rFj2XzP",447
2,SecretNetwork,Tue Feb 01 19:03:05 +0000 2022,"Secret Python is live: a secret SDK + tooling focused on python interactions with Secret Network 🚀

✅ Simple abstra… https://t.co/4puKPoljqK",256
6,BigTenNetwork,Tue Feb 01 18:40:33 +0000 2022,"""Zed, he's the most interesting man in college basketball.""

The guy's got a pet snake, after all. 🐍

@BTNJourney g… https://t.co/HEWvLJygQj",139
5,TDataScience,Wed Feb 02 10:24:00 +0000 2022,"For a (very, very) comprehensive guide to regressional analysis in Python, look no further than Brandon Morgan's la… https://t.co/YJ9GPLFXJu",86
8,TDataScience,Tue Feb 01 09:19:01 +0000 2022,Top 3 Python Packages to Generate Synthetic Data by @CornelliusYW  https://t.co/ylgRJJ04Ju,75
7,JimHarris,Tue Feb 01 18:55:21 +0000 2022,"Why #MobileFirst #Marketing a Must! 

Great #cartoon by Tom Fishburne 

#MWC22 #mobile #DigitalMarketing… https://t.co/wZtTDKH2zT",69
3,anacondainc,Tue Feb 01 17:24:33 +0000 2022,"Wordle, but make it #Python. 🤓 https://t.co/a4SuN5ekxV",60
