id,value,feed_id,created_at,lat,lon,ele
0F0R4X5NSMAYA61ZG9MMZCRZE9,LED ON,2130606,2022-05-06 18:15:03 UTC,,,
0F0R4XTEQGE6H4513CHMT9FQDM,1,2130606,2022-05-06 18:16:11 UTC,,,
0F0R59F75XPXV0F8ZYQCK0GE86,1,2130606,2022-05-06 18:36:32 UTC,,,
0F0R59KN5EM8VKZVS524ARKXV0,0,2130606,2022-05-06 18:36:47 UTC,,,
0F0R59QA9E8F8XQDV9SS5GKQXK,1,2130606,2022-05-06 18:36:59 UTC,,,
0F0R59V04SNGE5N0S3YZKJ6RM4,0,2130606,2022-05-06 18:37:11 UTC,,,
0F0R5C3GC1YBN9Y0PWRMH5Y1HM,1,2130606,2022-05-06 18:41:09 UTC,,,
0F0R5C4DYCERP5F834PZNQZ786,0,2130606,2022-05-06 18:41:12 UTC,,,
0F0R69AMVWKPTAW4M5ZBQW5RQ6,0,2130606,2022-05-06 19:32:13 UTC,,,
0F0R69DVH6F9EZTJDX92CQPERK,1,2130606,2022-05-06 19:32:23 UTC,,,
0F0R69QYBSHCHME2HGHQGFMXG2,1,2130606,2022-05-06 19:32:56 UTC,,,
0F0RH6DQJW91GSZBSRYYDPKTZ7,1,2130606,2022-05-07 05:42:18 UTC,,,
0F0T9AJJ6JX9ZT0KFS8NXMVRK9,0,2130606,2022-05-09 10:01:18 UTC,,,
0F0V6DMC43GHJ1YRQPFMHE8MMV,1,2130606,2022-05-10 13:08:27 UTC,,,
0F0V6DZECYR1SP3ZK5873N5A6P,0,2130606,2022-05-10 13:09:03 UTC,,,
0F0V6K8PM5GFKB4JE8P6F1CM6X,1,2130606,2022-05-10 13:18:18 UTC,,,
0F0VAWR18JMB4JJXAB53H9YS5A,0,2130606,2022-05-10 17:18:33 UTC,,,
0F0VAWV89DVHMMGXMV59MAMNRZ,0,2130606,2022-05-10 17:18:44 UTC,,,
0F0VAX3QK8GNVY6FPWDV6FTBH0,0,2130606,2022-05-10 17:19:12 UTC,,,
0F0VAYBMJCDDAK260S2535K0FV,0,2130606,2022-05-10 17:21:22 UTC,,,
0F0VBBJ447Y6JSVQ37VRCFYJ6J,1,2130606,2022-05-10 17:44:27 UTC,,,
0F0VBFWK7NHA1QND11WRRAHNYF,1,2130606,2022-05-10 17:52:01 UTC,,,
0F0VBHP5DTCW1D1EWP4XHJV7D3,0,2130606,2022-05-10 17:55:09 UTC,,,
0F0VC9FV3R6TANST7JXM3XBKM1,1,2130606,2022-05-10 18:36:45 UTC,,,
0F0VTF1CKW9EX5KPV7BAX7KNYX,0,2130606,2022-05-11 07:49:23 UTC,,,
0F0VTF316GJ03BG2FAVH2D7RRH,1,2130606,2022-05-11 07:49:28 UTC,,,
0F0VTFYDPQ86ZECRRET3R5Q9VG,0,2130606,2022-05-11 07:50:58 UTC,,,
0F0VTFZJDSDPKAF3XJ3HM5CK69,1,2130606,2022-05-11 07:51:02 UTC,,,
0F0VTG11PAMH0W94VNMNGWJA5J,0,2130606,2022-05-11 07:51:07 UTC,,,
0F0VTG24AH5GJ2NHKQ32JWTGZM,1,2130606,2022-05-11 07:51:10 UTC,,,
0F0VTG8NPWWFWAVZ328WPTR33F,0,2130606,2022-05-11 07:51:32 UTC,,,
0F0VTGB0TRY9FDARGZR2NX84PE,1,2130606,2022-05-11 07:51:39 UTC,,,
0F0VTGGGMP6M18S99DZCYTGCBS,0,2130606,2022-05-11 07:51:57 UTC,,,
0F0VTGPQ9NX6EV28DHTEWH0W4F,1,2130606,2022-05-11 07:52:18 UTC,,,
0F0VTGYX4XCCBVTDM14MQXF3Q1,0,2130606,2022-05-11 07:52:45 UTC,,,
0F0VTH6PMPJKQ4WVAJF97A7JYP,1,2130606,2022-05-11 07:53:10 UTC,,,
0F0VTQAC4RMCMMXRMKHG3ZPKJZ,0,2130606,2022-05-11 08:03:51 UTC,,,
0F0VTQJP1M80KSJW1FP1428C6Z,1,2130606,2022-05-11 08:04:19 UTC,,,
0F0VTQM4G0VNXPGZFYK02PXEFJ,0,2130606,2022-05-11 08:04:23 UTC,,,
0F0VTR0WP4W0B71XSWQVZXJVP8,1,2130606,2022-05-11 08:05:05 UTC,,,
0F0VV726SPM7WMKCPE2TQ6BHVB,0,2130606,2022-05-11 08:31:22 UTC,,,
0F0VV76J61YFERQKJR30QFS20B,1,2130606,2022-05-11 08:31:37 UTC,,,
0F0VV7PCNV61HPZE95STYHTQB3,0,2130606,2022-05-11 08:32:28 UTC,,,
0F0VV86AY1HMSEVPAY27QAMB1D,1,2130606,2022-05-11 08:33:21 UTC,,,
